X	A	A	A	A	A	A	R	R	R	R	R	R	R	R	R	R
X	A	A	A	S	S	A	R	R	R	R	R	R	R	R	R	R
X	A	A	A	A	S	A	C	C	C	C	C	C	C	C	C	C
X	S	A	S	S	S	S	R	R	R	R	R	R	R	R	R	R
X	A	A	A	A	S	A	R	R	R	R	R	R	R	R	R	R
X	A	A	A	A	S	A	R	R	R	R	R	R	R	R	R	R
X	A	A	A	S	A	S	R	R	R	R	R	R	R	R	R	R
X	A	A	A	A	S	A	R	R	R	C	C	R	R	R	R	R
X	A	A	A	S	S	A	R	R	R	C	R	R	R	R	R	R
X	A	A	A	S	S	A	R	R	R	R	R	R	R	R	R	R
X	A	A	A	A	A	A	R	R	R	R	R	R	R	R	R	R
X	A	A	A	S	S	A	R	R	R	R	R	R	R	R	R	R
X	A	A	A	S	S	A	R	R	R	R	R	R	R	R	R	R
X	A	A	A	S	S	A	R	R	R	R	R	R	R	R	R	R
X	A	A	A	S	S	A	R	R	R	C	C	R	R	R	R	R
X	A	A	A	S	S	A	R	R	R	C	R	R	R	R	R	R
X	A	A	A	S	S	A	R	R	R	C	R	C	R	R	R	R
